API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Sep 21 19:49:13 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Hubble Space Telescope (spacecraft) (-48) {source: hst}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2003-Feb-02 06:00:00.0000 TDB
Stop  time      : A.D. 2003-Feb-02 14:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2452672.785416667, A.D. 2003-Feb-02 06:51:00.0000, -6.701533663212541E-01,  6.573583249379178E-01,  2.849931106761467E-01, -1.400547599967140E-02, -1.454487959023817E-02, -2.694134198609472E-03,
2452672.786111111, A.D. 2003-Feb-02 06:52:00.0000, -6.701629999209258E-01,  6.573481905331056E-01,  2.849912248674816E-01, -1.373857032329331E-02, -1.463947961867787E-02, -2.738430655672058E-03,
2452672.786805556, A.D. 2003-Feb-02 06:53:00.0000, -6.701724467950050E-01,  6.573379960874276E-01,  2.849893053728255E-01, -1.346790103447198E-02, -1.471773406036095E-02, -2.791114748493848E-03,
2452672.787500000, A.D. 2003-Feb-02 06:54:00.0000, -6.701817047320900E-01,  6.573277530739435E-01,  2.849873464433280E-01, -1.319462888445424E-02, -1.477930379898458E-02, -2.851961811732387E-03,
2452672.788194444, A.D. 2003-Feb-02 06:55:00.0000, -6.701907723311678E-01,  6.573174731763093E-01,  2.849853424985005E-01, -1.291992614850292E-02, -1.482392165899131E-02, -2.920711790002388E-03,
2452672.788888889, A.D. 2003-Feb-02 06:56:00.0000, -6.701996490078370E-01,  6.573071682383893E-01,  2.849832881504084E-01, -1.264497149164347E-02, -1.485139357929194E-02, -2.997070377999138E-03,
2452672.789583333, A.D. 2003-Feb-02 06:57:00.0000, -6.702083349969552E-01,  6.572968502131699E-01,  2.849811782270176E-01, -1.237094481279590E-02, -1.486159945402812E-02, -3.080710314657187E-03,
2452672.790277778, A.D. 2003-Feb-02 06:58:00.0000, -6.702168313517036E-01,  6.572865311112043E-01,  2.849790077945922E-01, -1.209902209281268E-02, -1.485449363857000E-02, -3.171272823909143E-03,
2452672.790972222, A.D. 2003-Feb-02 06:59:00.0000, -6.702251399390838E-01,  6.572762229488225E-01,  2.849767721790418E-01, -1.183037027130622E-02, -1.483010512098874E-02, -3.268369193900228E-03,
2452672.791666667, A.D. 2003-Feb-02 07:00:00.0000, -6.702332634318717E-01,  6.572659376963376E-01,  2.849744669861264E-01, -1.156614217631137E-02, -1.478853736115955E-02, -3.371582485925636E-03,
