ra,dec,helio_dist
201.55423750012483,-15.051548953593342,56.895863865147945
208.76108512104332,-13.444508895976206,66.40447339009555
205.9625889785484,-1.29717975978669,75.48050028959591
198.27666149628132,-10.911860184202736,72.02292076942935
207.86022233238893,-12.1950247354624,62.11995083475975
214.79432672880657,-8.746642143869853,68.83426029514459
206.04296453653467,-9.423973779949575,70.34534126421082
204.61440048017514,-3.0096941039021488,54.16123585619128
203.2300481995972,-15.30450414499216,47.15206221627406
209.38367196254936,-8.47529821903058,56.78403690740781
209.86453074339045,-17.624212039843943,68.72796470339796
215.65416435972028,-7.4431458891658115,76.95064604875749
209.97643005556765,-3.9974501601950236,42.08113645849684
208.64810844495923,-15.39189910072289,64.98649587000499
209.90191280483103,-13.050090119341741,45.64968226081851
212.74069188265605,-10.449637992469844,63.21568347038556
215.28657445490697,-5.356759193415552,59.36350216571676
215.2210155660758,-13.73533670840094,47.048440539202865
209.85862258935455,-2.505988458577634,44.11605396590516
202.5889685143597,-9.615048282558597,60.44569444273905
207.57058070638544,-16.53189040545671,53.26867610346263
216.84548881207087,-15.549924965238679,58.93893334795123
214.73002334637624,-17.439396014492736,43.615254347393694
216.32430442694715,-6.780498080892037,41.062262662436055
209.56071762499496,-14.134375007399205,48.63615736594742
209.16060738858383,-6.222380752636317,53.89105574227286
215.4544394594765,-10.865024740225548,42.782586836347164
216.9543211863727,-7.162957497121249,70.75494118283588
198.21086594016546,-13.269626312745666,74.98040456118761
200.92815107774123,-12.792614313533832,57.53174931004728
204.1464893367358,-8.964268908476171,81.74508904070815
201.68465097698945,-14.686155073174506,62.230435187840726
205.96866395115927,-2.6314169825857006,73.31378907964934
211.62140527331553,-18.631914991311575,47.46566460170196
214.8338397039679,-4.145071839021523,60.8300387658007
215.90436735459022,-9.383172505013635,50.36632682363702
203.88341298724265,-2.785730126418806,64.49108701310843
202.42721367160135,-10.92531731464582,59.22320832454861
209.34198118198213,-18.055684960624866,55.23224492407844
199.35757603105594,-11.307536712271363,58.381092315070426
212.13148740297876,-5.94259608973714,66.72710360806799
204.83951128425335,-7.203080409241833,65.9662909748075
204.27183192398212,-5.728273569059981,53.14413737264667
